Código;Municipio;Departamento;ABELARDO DE LA ESPRIELLA;IVÁN CEPEDA CASTRO;PALOMA VALENCIA LASERNA;SERGIO FAJARDO VALDERRAMA;CLAUDIA LÓPEZ;RAÚL SANTIAGO BOTERO JARAMILLO;ÓSCAR MAURICIO LIZCANO ARANGO;MIGUEL URIBE LONDOÑO;SONDRA MACOLLINS GARVIN PINTO;ROY LEONARDO BARRERAS MONTEALEGRE;LUIS GILBERTO MURILLO URRUTIA;CARLOS EDUARDO CAICEDO OMAR;GUSTAVO MATAMOROS CAMACHO;Voto en blanco;Nulos;No marcados;Válidos;Votantes
16001;BOGOTA. D.C.;Bogotá D.C.;1.543.517;1.706.249;372.142;258.410;102.440;22.090;6.449;4.007;2.679;1.815;2.488;1.251;827;70.144;33.279;2.297;4.094.508;4.130.084
05001;CARTAGENA;Bolívar;142.674;239.504;10.912;11.612;1.268;1.335;1.789;277;170;143;164;276;81;7.905;1.944;545;418.110;420.599
05022;EL CARMEN DE BOLIVAR;Bolívar;14.641;10.555;1.390;228;44;131;48;41;43;32;13;17;13;390;244;73;27.586;27.903
05028;MAGANGUE;Bolívar;15.168;27.393;1.185;468;110;287;83;56;33;26;15;25;7;539;267;117;45.395;45.779
05118;TURBACO;Bolívar;12.311;22.333;1.060;932;116;146;57;23;14;7;16;33;14;693;196;72;37.755;38.023
07001;TUNJA;Boyacá;37.018;44.172;8.612;7.867;1.721;659;175;96;76;66;46;43;16;1.866;1.124;78;102.433;103.635
07067;CHIQUINQUIRA;Boyacá;15.041;9.233;2.278;1.263;324;297;38;27;25;10;11;12;7;452;359;22;29.018;29.399
07079;DUITAMA;Boyacá;29.238;27.239;5.477;4.134;1.180;599;113;73;37;35;37;24;10;1.116;680;37;69.312;70.029
07277;SOGAMOSO;Boyacá;29.674;27.481;6.297;3.867;1.111;500;115;72;45;30;30;19;15;1.167;772;76;70.423;71.271
09001;MANIZALES;Caldas;98.540;73.993;25.176;18.129;2.928;2.145;3.994;407;163;138;170;109;66;4.530;3.800;469;230.488;234.757
09049;LA DORADA;Caldas;13.888;11.685;2.119;800;158;577;586;41;32;45;20;18;7;595;898;108;30.571;31.577
09103;RIOSUCIO;Caldas;9.843;9.331;2.041;586;152;236;714;44;29;23;11;7;5;515;475;131;23.537;24.143
44001;FLORENCIA;Caquetá;41.108;26.756;4.237;2.590;352;1.290;126;90;71;67;43;31;22;1.525;877;144;78.308;79.329
44010;SAN VICENTE DEL CAGUAN;Caquetá;9.241;11.114;1.017;370;147;514;83;95;48;39;22;48;8;996;509;196;23.742;24.447
46001;YOPAL;Casanare;54.089;25.755;5.948;3.579;555;1.332;124;97;67;79;51;32;11;1.671;1.074;145;93.390;94.609
46480;LA SALINA;Casanare;109;229;11;3;2;0;3;1;0;0;0;1;0;19;8;3;378;389
46850;TAURAMENA;Casanare;9.652;3.174;664;332;62;288;28;17;12;10;5;6;3;261;215;28;14.514;14.757
11001;POPAYAN;Cauca;49.238;104.468;16.694;6.763;1.302;1.174;236;174;128;124;93;73;33;3.522;2.626;356;184.022;187.004
11076;SANTANDER DE QUILICHAO;Cauca;12.819;36.828;2.257;1.147;304;475;108;87;59;59;63;28;22;1.328;1.249;201;55.584;57.034
12001;VALLEDUPAR;Cesar;84.650;89.773;4.668;4.237;460;784;329;107;53;31;55;153;25;3.033;1.686;221;188.358;190.265
12075;AGUACHICA;Cesar;27.327;14.388;1.461;1.074;84;555;71;52;30;20;14;15;7;732;621;79;45.830;46.530
12150;AGUSTIN CODAZZI;Cesar;9.641;13.803;674;366;69;126;38;32;12;13;5;8;6;304;241;61;25.097;25.399
12200;BOSCONIA;Cesar;6.307;9.008;310;174;28;116;41;11;10;12;4;11;4;196;146;172;16.232;16.550
12608;LA JAGUA DE IBIRICO;Cesar;5.998;9.472;296;215;26;153;36;4;6;5;2;10;2;292;233;33;16.517;16.783
17001;QUIBDO;Chocó;5.914;29.900;2.266;459;167;241;83;65;41;57;104;21;31;789;857;150;40.138;41.145
13001;MONTERIA;Córdoba;87.885;104.497;5.611;4.080;445;705;262;138;91;70;53;78;18;3.075;1.263;314;207.008;208.585
13010;CERETE;Córdoba;14.984;26.771;991;618;115;152;63;25;24;11;9;14;10;689;320;89;44.476;44.885
13022;LORICA;Córdoba;15.938;26.216;1.184;385;89;164;49;35;27;32;14;15;5;554;228;79;44.707;45.014
13025;MONTELIBANO;Córdoba;7.546;22.618;378;312;77;153;82;18;20;11;17;11;11;522;217;57;31.776;32.050
13058;TIERRALTA;Córdoba;9.331;17.296;629;237;67;156;160;23;31;8;9;12;6;455;236;87;28.420;28.743
13061;VALENCIA;Córdoba;5.561;6.175;339;88;31;58;29;15;12;12;6;3;1;185;67;34;12.515;12.616
15031;CAJICA;Cundinamarca;25.420;16.176;5.160;3.878;1.141;330;96;59;45;20;35;15;4;908;508;23;53.287;53.818
15046;COTA;Cundinamarca;11.715;6.260;2.119;1.460;361;140;22;37;10;10;10;3;4;389;174;12;22.540;22.726
15055;CHIA;Cundinamarca;47.983;26.293;8.934;7.246;1.761;626;113;90;60;38;40;20;20;1.584;687;49;94.808;95.544
15076;FACATATIVA;Cundinamarca;24.970;34.701;5.110;3.592;1.385;845;160;98;52;46;48;25;17;1.623;1.874;81;72.672;74.627
15094;FUSAGASUGA;Cundinamarca;41.650;27.302;6.593;3.475;1.113;784;129;95;59;53;58;29;10;1.309;908;74;82.659;83.641
15109;GIRARDOT;Cundinamarca;26.476;21.283;3.470;1.620;598;639;95;61;31;26;34;16;32;841;726;59;55.222;56.007
15160;MADRID;Cundinamarca;24.614;31.763;4.202;3.549;1.477;599;129;105;43;23;43;21;16;1.491;1.322;78;68.075;69.475
15169;MOSQUERA;Cundinamarca;29.147;31.194;4.988;4.563;1.409;610;149;84;55;42;42;23;9;1.540;936;48;73.855;74.839
15247;SOACHA;Cundinamarca;72.682;139.603;17.093;10.616;5.782;2.362;542;409;186;144;221;132;69;5.239;3.895;222;255.080;259.197
15250;SOPO;Cundinamarca;5.829;7.099;1.267;1.021;366;156;23;9;28;9;7;6;3;367;210;17;16.190;16.417
15304;UBATE;Cundinamarca;13.478;6.787;2.520;1.342;449;280;49;39;19;13;16;5;5;623;440;47;25.625;26.112
15340;ZIPAQUIRA;Cundinamarca;29.209;39.011;5.821;4.983;1.782;680;169;114;78;36;44;33;28;1.781;1.318;73;83.769;85.160
50001;INIRIDA;Guainía;3.351;4.926;598;164;88;113;19;26;13;6;11;8;1;200;71;28;9.524;9.623
54001;SAN JOSE DEL GUAVIARE;Guaviare;12.040;9.150;1.588;676;217;544;65;55;28;15;32;11;15;835;554;102;25.271;25.927
19001;NEIVA;Huila;85.998;71.549;11.552;7.149;1.447;1.951;416;162;141;161;89;83;33;3.098;1.919;200;183.829;185.948
19049;LA PLATA;Huila;14.671;7.829;2.122;524;160;366;50;60;41;26;20;9;3;554;344;108;26.435;26.887
19061;PITALITO;Huila;34.502;21.913;3.611;1.865;321;823;94;102;85;27;34;40;29;1.264;628;124;64.710;65.462
19070;SAN AGUSTIN;Huila;8.483;5.217;996;241;108;144;20;38;31;15;6;11;4;296;135;51;15.610;15.796
48001;RIOHACHA;La Guajira;26.917;37.453;2.147;1.172;193;391;116;69;44;29;27;48;17;1.277;717;162;69.900;70.779
48010;MAICAO;La Guajira;20.966;25.692;1.048;599;148;308;125;58;55;48;24;51;20;836;455;115;49.978;50.548
48016;URIBIA;La Guajira;8.026;12.551;521;148;94;217;175;67;44;35;21;45;30;295;445;172;22.269;22.886
21001;SANTA MARTA;Magdalena;79.356;112.812;10.064;5.749;654;1.004;320;142;126;73;88;933;43;3.898;1.708;251;215.262;217.221
